@relation MenIPPlaces
@attribute name string
@attribute Lap1 numeric
@attribute Lap2 numeric
@attribute Lap3 numeric
@attribute Lap4 numeric
@attribute Lap5 numeric
@attribute Lap6 numeric
@attribute Lap7 numeric
@attribute Lap8 numeric
@attribute Lap9 numeric
@attribute Lap10 numeric
@attribute Lap11 numeric
@attribute Lap12 numeric
@attribute Lap13 numeric
@attribute Lap14 numeric
@attribute Lap15 numeric
@attribute Lap16 numeric
@data
JackBOBRIDGE,4,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2
MichaelHEPBURN,11,5,5,3,4,4,4,3,3,2,2,2,1,1,1,1
MartynIRVINE,6,9,8,6,5,5,4,3,3,3,3,3,3,2,2,2
CesarAYALA,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
OleksandrLOBOV,14,15,14,12,12,12,12,12,12,12,12,13,14,14,14,15
RoyEEFTING,2,5,7,10,10,10,10,11,11,11,9,9,8,8,8,8
JonathanMOULD,11,14,16,16,16,17,17,17,17,17,17,17,17,16,18,17
FrankPASCHE,10,8,10,13,14,14,14,13,13,13,14,14,13,13,12,11
LokCHEUNG,18,18,18,18,18,18,16,15,14,14,13,12,12,12,13,13
OndrejVENDOLSKY,8,11,9,8,9,9,8,8,8,8,7,7,7,7,7,7
SergeySHILOV,7,4,4,4,4,4,3,4,4,5,5,5,5,6,6,6
ManuelCAZZARO,19,19,19,19,19,19,19,19,18,18,18,18,18,18,16,16
ManuelBRICENO,17,16,15,15,15,16,18,18,19,19,19,19,19,19,19,19
DylanKENNETT,4,6,5,5,6,6,7,6,6,6,6,6,6,5,4,4
AndrewTENNANT,5,2,2,2,1,1,1,1,2,2,4,4,4,4,5,5
NormanHANSEN,12,3,3,3,3,2,2,2,1,1,1,1,1,1,1,1
AliaksandrLISOUSKI,13,13,13,14,13,13,13,14,15,15,16,16,16,17,17,18
ThomasBOUDAT,16,17,17,17,17,15,15,16,16,16,15,15,15,15,15,14
GijsVAN,3,7,6,7,8,8,9,9,9,9,11,11,11,10,10,10
MaximilianBEYER,1,1,1,1,2,3,6,7,7,7,8,8,9,11,11,12
AlexanderSEROV,7,5,5,5,4,4,4,4,3,3,3,3,3,3,6,6
JonasRICKAERT,20,20,19,21,20,20,19,19,19,18,19,20,19,19,19,19
ChristianQUAADE,19,16,12,10,10,8,8,7,7,7,6,6,5,7,7,7
StefanKUENG,18,15,15,15,13,12,12,10,9,9,8,8,7,6,4,3
IgnatMALEI,13,18,18,19,21,22,22,23,23,23,23,23,23,23,23,23
RomanFURST,10,13,16,17,17,18,21,21,21,22,22,22,22,22,22,22
IvanSAVITSKIY,15,10,9,9,9,9,9,10,11,11,11,11,11,14,13,13
ThomasBOUDAT,23,21,21,22,22,21,20,20,20,20,20,19,20,20,20,20
MarcoCOLEDAN,12,14,14,13,14,14,16,16,17,17,17,17,17,16,16,16
SebastianMORA,5,7,7,7,7,7,7,6,5,4,5,5,6,8,8,8
KerstenTHIELE,6,9,13,14,16,16,14,14,13,13,14,14,13,10,11,12
DionBEUKEBOOM,17,17,17,16,15,15,15,15,15,16,15,15,15,15,15,18
MaximilianBEYER,1,1,1,1,1,1,1,1,4,6,9,10,10,13,14,14
DiasOMIRZAKOV,2,2,4,6,8,10,11,12,12,12,12,12,12,12,12,10
VladimirTUYCHIEV,14,19,23,23,23,23,23,22,22,21,21,21,21,21,21,21
OndrejVENDOLSKY,21,23,20,18,19,19,18,18,18,19,18,18,18,18,18,15
JenningHUIZENGA,3,6,8,8,6,6,5,5,6,5,4,4,4,4,5,5
AlexanderMORGAN,11,11,6,4,5,5,6,8,8,8,7,7,8,5,3,4
StevenBURKE,9,8,10,12,12,13,13,13,14,15,16,16,16,17,17,17
MichaelHEPBURN,8,4,2,2,2,2,2,2,1,1,1,1,1,1,1,1
DominiqueCORNU,16,12,11,11,11,11,10,9,10,10,10,9,9,9,9,9
