FrostLOLLESGAARD Martin,Lap-2-Place-0,Lap-3-Place-+1,Lap-4-Place-+2,Lap-5-Place-+1,Lap-6-Place-+2,Lap-7-Place-0,Lap-8-Place-0,Lap-9-Place--1,Lap-10-Place-0,Lap-11-Place-0,Lap-12-Place-0,Lap-13-Place-0,Lap-14-Place-+1,Lap-15-Place-0,Lap-16-Place-0
MarcelloBERTOLO,Lap-2-Place-0,Lap-3-Place--1,Lap-4-Place--2,Lap-5-Place--1,Lap-6-Place-0,Lap-7-Place-0,Lap-8-Place-+1,Lap-9-Place-0,Lap-10-Place-0,Lap-11-Place-0,Lap-12-Place-0,Lap-13-Place-0,Lap-14-Place-0,Lap-15-Place-0,Lap-16-Place-0
LeviHEIMANS,Lap-2-Place--3,Lap-3-Place-0,Lap-4-Place-+1,Lap-5-Place-0,Lap-6-Place-0,Lap-7-Place-0,Lap-8-Place-0,Lap-9-Place-0,Lap-10-Place-0,Lap-11-Place-0,Lap-12-Place-0,Lap-13-Place-0,Lap-14-Place-+1,Lap-15-Place--1,Lap-16-Place-0
GediminasBAGDONAS,Lap-2-Place--3,Lap-3-Place--2,Lap-4-Place--3,Lap-5-Place-0,Lap-6-Place-0,Lap-7-Place--1,Lap-8-Place-0,Lap-9-Place-0,Lap-10-Place-0,Lap-11-Place--1,Lap-12-Place-0,Lap-13-Place-0,Lap-14-Place--1,Lap-15-Place-0,Lap-16-Place-0
DominiqueCORNU,Lap-2-Place-+7,Lap-3-Place-+2,Lap-4-Place-0,Lap-5-Place-0,Lap-6-Place--1,Lap-7-Place-0,Lap-8-Place--1,Lap-9-Place-0,Lap-10-Place-0,Lap-11-Place-0,Lap-12-Place-0,Lap-13-Place-0,Lap-14-Place-+1,Lap-15-Place--1,Lap-16-Place-0
JakubSREDZINKI,Lap-2-Place-+1,Lap-3-Place-0,Lap-4-Place--1,Lap-5-Place-0,Lap-6-Place--1,Lap-7-Place--1,Lap-8-Place-0,Lap-9-Place--1,Lap-10-Place--1,Lap-11-Place-0,Lap-12-Place-0,Lap-13-Place-0,Lap-14-Place-0,Lap-15-Place-0,Lap-16-Place-0
RobertBARTKO,Lap-2-Place-0,Lap-3-Place--3,Lap-4-Place-+1,Lap-5-Place-0,Lap-6-Place-0,Lap-7-Place-+1,Lap-8-Place-0,Lap-9-Place-0,Lap-10-Place-0,Lap-11-Place-0,Lap-12-Place-0,Lap-13-Place-0,Lap-14-Place-+1,Lap-15-Place-+2,Lap-16-Place-0
FaerkCHRISTENSEN Michael,Lap-2-Place-+4,Lap-3-Place--2,Lap-4-Place-+1,Lap-5-Place-0,Lap-6-Place-0,Lap-7-Place-0,Lap-8-Place-+1,Lap-9-Place-+1,Lap-10-Place-+1,Lap-11-Place-0,Lap-12-Place-0,Lap-13-Place-0,Lap-14-Place-0,Lap-15-Place-0,Lap-16-Place-+2
DavidO'LOUGHLIN,Lap-2-Place-+1,Lap-3-Place-0,Lap-4-Place-0,Lap-5-Place-0,Lap-6-Place-0,Lap-7-Place-0,Lap-8-Place-0,Lap-9-Place-0,Lap-10-Place-0,Lap-11-Place-0,Lap-12-Place-0,Lap-13-Place-0,Lap-14-Place-0,Lap-15-Place-0,Lap-16-Place-0
TaylorPHINNEY,Lap-2-Place-+1,Lap-3-Place-+7,Lap-4-Place-+1,Lap-5-Place-+2,Lap-6-Place-0,Lap-7-Place-+2,Lap-8-Place-0,Lap-9-Place-0,Lap-10-Place-0,Lap-11-Place-0,Lap-12-Place--1,Lap-13-Place-0,Lap-14-Place-0,Lap-15-Place-0,Lap-16-Place--1
ValeryKAIKOV,Lap-2-Place-+2,Lap-3-Place-+1,Lap-4-Place-+1,Lap-5-Place-+1,Lap-6-Place-0,Lap-7-Place--2,Lap-8-Place-0,Lap-9-Place-0,Lap-10-Place--2,Lap-11-Place-0,Lap-12-Place-0,Lap-13-Place-0,Lap-14-Place--3,Lap-15-Place-0,Lap-16-Place-0
SergiESCOBAR ROURE,Lap-2-Place-+1,Lap-3-Place--1,Lap-4-Place-+1,Lap-5-Place--1,Lap-6-Place-0,Lap-7-Place-0,Lap-8-Place-0,Lap-9-Place-0,Lap-10-Place-0,Lap-11-Place-0,Lap-12-Place-+1,Lap-13-Place-0,Lap-14-Place-0,Lap-15-Place-0,Lap-16-Place--1
AlexeiMARKOV,Lap-2-Place-+1,Lap-3-Place-+1,Lap-4-Place--2,Lap-5-Place--2,Lap-6-Place-+1,Lap-7-Place-0,Lap-8-Place-0,Lap-9-Place--1,Lap-10-Place-+1,Lap-11-Place-0,Lap-12-Place-0,Lap-13-Place-0,Lap-14-Place-0,Lap-15-Place-0,Lap-16-Place-0
FaerkCHRISTENSEN Michael,Lap-2-Place-+3,Lap-3-Place-+3,Lap-4-Place-+1,Lap-5-Place-0,Lap-6-Place--1,Lap-7-Place--3,Lap-8-Place--1,Lap-9-Place-+2,Lap-10-Place-0,Lap-11-Place-0,Lap-12-Place-+1,Lap-13-Place-+1,Lap-14-Place-0,Lap-15-Place-0,Lap-16-Place-0
PiotrKASPERKIEWICZ,Lap-2-Place--1,Lap-3-Place--1,Lap-4-Place-0,Lap-5-Place-0,Lap-6-Place-0,Lap-7-Place-0,Lap-8-Place-0,Lap-9-Place-0,Lap-10-Place-0,Lap-11-Place-0,Lap-12-Place-0,Lap-13-Place--1,Lap-14-Place-0,Lap-15-Place-0,Lap-16-Place-0
StefanSCHAFER,Lap-2-Place-+3,Lap-3-Place-+1,Lap-4-Place--1,Lap-5-Place-0,Lap-6-Place--1,Lap-7-Place-0,Lap-8-Place--1,Lap-9-Place--1,Lap-10-Place-0,Lap-11-Place-0,Lap-12-Place-0,Lap-13-Place-+1,Lap-14-Place-0,Lap-15-Place-+1,Lap-16-Place-0
DavidMUNTANER JUANEDA,Lap-2-Place-+3,Lap-3-Place-+2,Lap-4-Place-+1,Lap-5-Place-+2,Lap-6-Place-+3,Lap-7-Place-0,Lap-8-Place-+1,Lap-9-Place-0,Lap-10-Place-0,Lap-11-Place-0,Lap-12-Place-0,Lap-13-Place-0,Lap-14-Place-0,Lap-15-Place-+1,Lap-16-Place-0
GediminasBAGDONAS,Lap-2-Place-0,Lap-3-Place--3,Lap-4-Place-0,Lap-5-Place--1,Lap-6-Place--1,Lap-7-Place-0,Lap-8-Place-0,Lap-9-Place--2,Lap-10-Place-0,Lap-11-Place-+1,Lap-12-Place-0,Lap-13-Place--1,Lap-14-Place-0,Lap-15-Place--1,Lap-16-Place-0
GeraintTHOMAS,Lap-2-Place-0,Lap-3-Place--1,Lap-4-Place-0,Lap-5-Place-0,Lap-6-Place-+1,Lap-7-Place-0,Lap-8-Place-0,Lap-9-Place-0,Lap-10-Place-0,Lap-11-Place-0,Lap-12-Place-0,Lap-13-Place-0,Lap-14-Place-0,Lap-15-Place-0,Lap-16-Place-0
KonstantinKUPERASOV,Lap-2-Place-0,Lap-3-Place-+1,Lap-4-Place-0,Lap-5-Place--1,Lap-6-Place-0,Lap-7-Place-0,Lap-8-Place--1,Lap-9-Place--2,Lap-10-Place-+1,Lap-11-Place-0,Lap-12-Place-0,Lap-13-Place-0,Lap-14-Place-0,Lap-15-Place-0,Lap-16-Place-0
ThiagoNARDIN,Lap-2-Place-0,Lap-3-Place-0,Lap-4-Place-0,Lap-5-Place-0,Lap-6-Place--1,Lap-7-Place--1,Lap-8-Place-0,Lap-9-Place-0,Lap-10-Place-0,Lap-11-Place-0,Lap-12-Place-0,Lap-13-Place-0,Lap-14-Place-0,Lap-15-Place-0,Lap-16-Place-0
MichaelSINGER,Lap-2-Place--4,Lap-3-Place--1,Lap-4-Place-0,Lap-5-Place-0,Lap-6-Place-0,Lap-7-Place-0,Lap-8-Place-0,Lap-9-Place-0,Lap-10-Place-0,Lap-11-Place-0,Lap-12-Place-0,Lap-13-Place-0,Lap-14-Place-0,Lap-15-Place-0,Lap-16-Place-0
ClaudioIMHOF,Lap-2-Place--4,Lap-3-Place--4,Lap-4-Place--2,Lap-5-Place-0,Lap-6-Place-0,Lap-7-Place-0,Lap-8-Place-0,Lap-9-Place-+1,Lap-10-Place--1,Lap-11-Place-0,Lap-12-Place-0,Lap-13-Place-0,Lap-14-Place-0,Lap-15-Place-0,Lap-16-Place-0
LokCHEUNG King,Lap-2-Place-0,Lap-3-Place--1,Lap-4-Place-0,Lap-5-Place-0,Lap-6-Place-0,Lap-7-Place-+1,Lap-8-Place-0,Lap-9-Place-0,Lap-10-Place-0,Lap-11-Place-0,Lap-12-Place-0,Lap-13-Place-0,Lap-14-Place-0,Lap-15-Place-0,Lap-16-Place-0
DavidMC CANN,Lap-2-Place-0,Lap-3-Place-+2,Lap-4-Place-0,Lap-5-Place-0,Lap-6-Place-+1,Lap-7-Place-0,Lap-8-Place-0,Lap-9-Place-0,Lap-10-Place-0,Lap-11-Place-0,Lap-12-Place-0,Lap-13-Place-+1,Lap-14-Place-0,Lap-15-Place-0,Lap-16-Place-0
MarcoCOLEDAN,Lap-2-Place-+1,Lap-3-Place-+1,Lap-4-Place-0,Lap-5-Place-0,Lap-6-Place-0,Lap-7-Place--1,Lap-8-Place--1,Lap-9-Place-0,Lap-10-Place-0,Lap-11-Place-0,Lap-12-Place-0,Lap-13-Place-0,Lap-14-Place-0,Lap-15-Place--1,Lap-16-Place-0
