AdriaSABATE MASIP,Lap-2-Place-+2,Lap-3-Place--4,Lap-4-Place--4
AntonLAPSHINAU,Lap-2-Place-+2,Lap-3-Place-+5,Lap-4-Place-+1
ChongyangWANG,Lap-2-Place-+1,Lap-3-Place-+3,Lap-4-Place-+2
ChristianRANNERIES,Lap-2-Place--2,Lap-3-Place-+1,Lap-4-Place-+1
RobsonDIAS,Lap-2-Place-+1,Lap-3-Place-+1,Lap-4-Place-+2
GregoryHUGENTOBLER,Lap-2-Place-+2,Lap-3-Place-0,Lap-4-Place--1
HafizSUFIAN,Lap-2-Place--1,Lap-3-Place-0,Lap-4-Place--1
KonstantinosKARAGEORGOS,Lap-2-Place--5,Lap-3-Place--1,Lap-4-Place-+1
ClemensSELZER,Lap-2-Place-0,Lap-3-Place-0,Lap-4-Place--1
DavidASKURAVA,Lap-2-Place--5,Lap-3-Place--4,Lap-4-Place-+1
YudaiNITTA,Lap-2-Place-+2,Lap-3-Place-+1,Lap-4-Place-+4
FrancescoCECI,Lap-2-Place-+6,Lap-3-Place-+3,Lap-4-Place--1
TomasBABEK,Lap-2-Place--1,Lap-3-Place-+2,Lap-4-Place-+2
AdrianTEKLINSKI,Lap-2-Place--1,Lap-3-Place-+1,Lap-4-Place-+1
YevhenBOLIBRUKH,Lap-2-Place-+2,Lap-3-Place--5,Lap-4-Place--4
ThomasBONAFOS,Lap-2-Place-0,Lap-3-Place-0,Lap-4-Place--1
DavidDANIELL,Lap-2-Place-0,Lap-3-Place-+2,Lap-4-Place--1
QuentinLAFARGUE,Lap-2-Place-+1,Lap-3-Place-0,Lap-4-Place-+1
StefanNIMKE,Lap-2-Place--1,Lap-3-Place-0,Lap-4-Place-0
"21,Nov",Lap-2-Place--1,Lap-3-Place-0,Lap-4-Place--1
EthanMITCHELL,Lap-2-Place-0,Lap-3-Place-0,Lap-4-Place-0
